éditeur	entity的编辑
auteur	entity的作者
lieu	entity的位置
prédécesseur	entity的前任
subdivision	entity的行政分区
siège	entity的总部
avant	entity的上一任
successeur	entity的继任者
région	entity的分布区域
type	entity的类型
nom	entity的地址
après	entity的下一任
ville	entity所属的州
lieuDeNaissance	entity的出生地
liste	entity所在的列表
site	entity的地方
fonction	entity的职位
président	entity的总统
propriétaire	entity的营运方
langue	entity的语言
légende	entity的传奇
lieuDeDécès	entity的死亡地点
capitale	entity所属的国家区域
pays	entity所属的国家区域
localisation	entity的所在地
précédent	entity的前一任
suivant	entity的下一位
nomDeDivision	entity所在的大区
périodique	
commune	entity所在的直辖市
division	entity所在的地区
origine	entity的起源
préface	
équipementSportif	entity的主场场馆
lienSubdivision	entity所在地区
province	entity所在的省
club	entity效力的俱乐部
chefLieu	entity的行政中心
tenant	entity的参赛球队
premTitulaire	第一任entity
gouvernement	entity效力的政府
affiliation	entity隶属的组织
ouest	
état	entity所在的州
palmarèsNational	entity参加的比赛
stade	entity的主场场馆
nomCapitale	entity的首都
constructeur	entity的设计者
est	entity的东部
quartier	entity属于哪里
sud	entity的南部
fondateur	entity的创建者
nordEst	entity的东北部
premierMinistre	entity的总理
nord	entity的北面
embouchureLocalisation	entity河口的位置
nordOuest	entity的西北部
championnatActuel	entity的本届冠军
situation	entity的所属地
parti	entity的党派
lienRégion	entity的关联区域
sudEst	entity的东南部
précédente	entity的上一个
sudOuest	entity的西南区
équipe	entity的队伍
monarque	entity的君主
bassinCollecteur	entity的河口(入海口)
sépulture	entity的安葬地点
plusTitré	
entraîneur	entity的教练
nationalité	entity的国籍
valeur	
langues	entity用的语言
législature	entity的立法机构
conjoint	entity的共同利害关系人
commandant	entity的指挥官
titulaireActuel	现任entity
portD'attache	entity的母港
comté	entity的所属郡
commanditaire	entity的资金提供者
collection	
éponyme	entity的命名者
pointCulminant	
régime	entity的流动方式
hiérarchie+_	entity的上一级
combattants	entity的战士
leadera	entity的领袖
ligue	entity所在的联盟
catégorie	entity的类别
subdivisionsTerritoriales	entity的所属区域
paysDeNaissance	entity的出生国
nomDeCode	entity的代码名称
siège(ville)_	entity的所属地
coalition	entity的同盟
finaliste	entity的决赛队伍
district	entity的所属区
titreLeadera	entity的领导人头衔
suivante	entity的下一个
adresse	entity的地址
lieuOrigine	entity的发源地
lieuDeVénération	entity的所属地
subdivision1Type	
intituléSubdivision	entity的行政区划分
chef	entity的长官
gouverneur	entity的长官
sel	
auteurs	entity的创造者
autoritéUnitaire	entity的单一管理区
palmarèsInternational	entity赢得的国际比赛
exploitant	entity的运营方
genre	entity的种类
statut	entity的业务类型
parlement	entity的议会
sexe	entity的性别
équipeNfl	entity效力的球队
villeDepart	entity的出发地
début	entity的起始位置
paysDeDécès	entity逝世的国家
villesPrincipales	entity的主要城市
destination	entity的终点站
coupe	entity的杯赛冠军
clubJunior	entity的青年俱乐部
lanceur	entity的发射手段
typeSubdivision	entity的区域类型
mandant	entity的任命者
famille	entity所属的家族
lieuparutionOrig	entity的发行地点
champion	entity的冠军
capitaine	entity的队长
activités	entity的知名领域
groupeParlementaire	entity的议会团体
hiérarchie	entity的等级制度
créateur	entity的创造者
porteDrapeau	entity的旗手
mission	entity参与的任务
partiSuccesseur	entity的胜选党派
vainqueur	entity的优胜者
villeArrivee	entity的终点
villes	entity的主要城市
organisation	entity的组织机构
département	entity所在的区
franchit	entity跨域的水域
père	entity的父亲
dr	entity的区域分布
deuxième	entity的亚军
territoire	entity的领地
chaîne	entity的播出媒体
modèlePrécédent	entity的上一个模型
usine	entity的工厂
sociétéSœur	entity的姐妹公司
massif	entity所在的山脉
modèleSuivant	entity的下一个模型
couleurs	entity的标志颜色
cible	entity的目标
nomSubdivisionMère	entity的子区
découvreur	entity的发现者
fratrie	entity的兄弟
marque	entity的品牌
voirAussi	
sport	entity的主要体育项目
lang	entity的官方语言
allégeance	entity的效忠对象
chantier	entity的制造工厂
série	
développeur	entity的开发商
dynastie	entity的朝代
concepteur	entity的设计者
saisonPrécédente	entity的上一季
œuvre	entity的作者
saisonSuivante	entity的下一季
vicePrésident	entity的副主席
franchise	entity的特许经营方
chaine	entity的传播媒体
origineNom	entity的命名依据
artiste	entity的艺术家
formation	entity就读的学校
armateur	entity的船主
précédéPar	entity的上一代
présentation	entity的主持人
fabricant	entity的厂商
leader	entity的领袖
partiPrédécesseur	entity的前身党
réalisateur	entity的导演
titreDeLaSérie	entity的系列标题
mère	entity的母亲
plusGrandeVille	entity最大的城市
traducteur	entity的译者
versionPrécédente	entity早期版本
drapeauLien	entity的标志
compagnie	entity的公司
fusionnéDans	entity的合并对象
suiviPar	entity下一季
organisateur	entity的组织者
résidenceOfficielle	entity的官邸
localité	entity的位置
stationSuivante	entity的下一站
leaderc	entity的领导
héritier	entity的继承人
featuring	entity的创作者
