location	entity的位置
type	entity的类型
title	entity的头衔
birthPlace	entity的出生地
subdivisionName	entity的所在区域
predecessor	entity的前任
successor	entity的继任者
region	entity所属的国家区域
caption	
before	entity的上一代
city	entity所在的城市
country	entity的所属国家
religion	entity的信仰宗教
after	entity的继任者
subdivisionType	entity的所属区划
spouse	entity的配偶
timezone	entity的时区
language	entity的交流语言
capital	entity的首都(省会)
owner	entity的拥有者
founder	entity的创始人
genre	entity的类型
occupation	entity的职业
leader	entity的领导人
party	entity的所属党派
state	entity的所在州
deathPlace	entity逝世的地方
almaMater	entity的母校
province	entity的所在省份
leaderName	entity的领导人
leaderTitle	entity领导人的头衔
office	entity的就职地
president	entity效力的总统
nationality	entity的国籍
father	entity的父亲
position	entity的定位
headquarters	entity的总部地址
products	entity的产品
imageCaption	entity的代表
industry	entity的所属产业
cityofbirth	entity的出生城市
seat	entity的行政中心
timezoneDst	entity的时区
knownFor	entity的成名作
eventEnd	entity的结局
governmentType	entity的国家体制
namedAfter	entity的名字来源
placeOfBirth	entity的出生地
parent	entity的父类
league	entity效力的联赛
territory	entity的地区
timezone1Dst	entity的时区
arrondissement	entity的区
operator	entity的运营方
house	entity的所属王朝
settlementType	entity的地区类型
label	entity的标签
residence	entity的居住地
mother	entity的母亲
place	entity的地点
eponym	entity的命名者
author	entity的作者
canton	entity的驻地
event	entity的事件
companyType	entity的公司类型
related	entity的相关事物
chairman	entity的主席
ground	entity的地址
commonLanguages	entity的通用语言
origin	entity的发源地
currency	entity的货币
children	entity的子女
series	entity的所属系列
職業	entity的职业
issue	entity的后裔
next	entity的下一位
postalCodeType	entity的邮政编码
eventStart	entity建立的起始事件
legislature	entity的立法机构
succession	entity的立法机构
titleLeader	entity领导者的头衔
battles	entity参加的战争
developer	entity的开发商
民族	entity的所属民族
awards	entity获得的奖项
precededBy	entity的上一部作品
currentclub	entity目前所属的俱乐部
manager	entity的经历
source	entity的来源
leaderParty	entity的所属党派
sport	entity从事的运动
name	entity的命名
format	entity的形式
最大城市名稱	entity的最大城市
keyPeople	entity的最重要的人物
languages	entity的语言
seats1Title	entity的出处
deputy	entity的代理人
branch	entity的所属分支
ideology	entity的意识形态
status	entity的身份
貨幣單位	entity的货币
era	entity时代的事件
partof	entity的所属事件
district	entity的所属区域
allegiance	entity效忠的对象
locale	entity的所属地点
配偶	entity的配偶
order	entity的领导机构
nationalteam	entity的国家队
commander	entity的将领
director	entity的导演
field	entity的领域
南	entity南部的地点
stadium	entity的举办地
consort	entity的配偶
monarch	entity的君王
last	entity的最后出处
國家首都名稱	entity的首都
team	entity的参赛队伍
manufacturer	entity的生产商
appointer	entity的任命者
fam	entity的所属语系
locationCity	entity的所在城市
placeOfDeath	entity的逝世地
语言	entity的语言
result	entity的获胜方
family	entity的所属家族
primeminister	entity的首相
incumbent	entity的现任就职者
官方文字	entity的官方语言
官方語言	entity的官方语言
語言	entity的语言
parents	entity的父母
ethnicity	entity的种族
國際域名縮寫	entity的国际域名缩写
constituencyWestminster	entity的选区
states	使用entity的国家
royalHouse	entity的所属皇室
政治體制	entity的政治体制
publisher	entity的出版商
countryofbirth	entity的出生国家
influences	entity影响的人
burialPlace	entity的安葬地
nickname	entity的绰号
prev	entity的上一代
clubs	entity的所属球队
西	entity西部的地点
countryAdminDivisions	entity的隶属行政区
producer	entity的制作人
influenced	受entity影响的人
youthclubs	entity所属青年俱乐部
combatant	entity的参与国
start	entity的起点站
東	entity东部的地点
東北	entity东北部的地点
network	entity的网络源头
seats3Title	entity位于地方名称
birthplace	entity的出处
上一節目	entity的上一个节目
largestCity	entity的最大城市
seats2Title	entity的出处名称
下一節目	entity的接档节目
artist	entity的艺术家
placeOfBurial	entity的安葬地
designer	entity的设计者
creator	entity的创造者
instrument	entity的乐器
starring	entity的主演
locationCountry	entity所在国家
affiliation	entity的隶属机构
affiliations	entity的附属机构
北	entity的北部城市
nation	entity的所属国家
writer	entity的作者
architect	entity的建筑师
garrison	entity的驻守区域
教育程度	entity的毕业院校
college	entity就读的大学
rank	entity的职级
subdivisionRanks	entity的分类等级
出生地	entity的出生地
西北	entity西北部的地点
areas	entity的产生地点
coach	entity的教练
education	entity的毕业院校
constituency	entity的选民出处
profession	entity的专业
父親	entity的父亲
discoverySite	entity的发现地
mapCaption	entity的标志性地点
shireCounty	entity的郡
西南	entity西南边的地点
tenants	entity的租客
archipelago	entity的所属海域
honorificSuffix	entity的所属
draftTeam	entity的选秀队伍
body	entity的所属
